text,start,duration,end,dominant_emotion
Kinetico be a blood glucose monitor,0.0,3.75,3.75,
system is accurate easy to use and,1.62,2.99,4.61,
affordable,3.75,5.36,9.11,
[Music],4.61,4.5,9.11,
step 1 prepare the device insert a test,9.52,8.829,18.349,
strip the device will turn on,16.849,6.721,23.57,
automatically step 2 take the softball,18.349,7.76,26.109,
remove the cap and insert the Lancer,23.57,5.25,28.82,
twist off the Lancet cover and replace,26.109,6.761,32.870000000000005,
the cap you can adjust the Lance in,28.82,5.97,34.79,
depth by twisting the base there are,32.87,3.47,36.339999999999996,
five depths to choose from,34.79,4.08,38.87,
pause the device against your finger and,36.34,3.969,40.309000000000005,
press the release one wipe away the,38.87,3.06,41.93,
first blood drop and squeeze until a,40.309,4.92,45.229,
second blood drop forms step 3 results,41.93,6.119,48.049,
of the device at 45 degree F touch the,45.229,4.231,49.46,
blood sample to the end of the test,48.049,5.07,53.119,
strip your reading will appear after 5,49.46,4.16,53.620000000000005,
seconds,53.119,3.641,56.76,NA
[Music],53.62,3.14,56.76,NA
you,56.95,2.06,59.010000000000005,NA
